doctor_name,medical_specialty,phone_number,email,hospital_name,hospital_state,password
Sarah Young,Consult - History and Phy.,(301) 555-9526,sarah.young@hospital.com,University of Maryland Medical Center,Maryland,abcd
Linda Garcia,Nephrology,(571) 555-8271,linda.garcia@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Barbara Anderson,Radiology,(240) 555-6900,barbara.anderson@hospital.com,Howard University Hospital,Washington D.C.,abcd
Jessica Smith,Surgery,(571) 555-5689,jessica.smith@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Andrew Torres,Gastroenterology,(571) 555-8287,andrew.torres@hospital.com,University of Maryland Medical Center,Maryland,abcd
Sandra Mitchell,Nephrology,(571) 555-4772,sandra.mitchell@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Daniel Robinson,Discharge Summary,(571) 555-8048,daniel.robinson@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
David Jackson,Consult - History and Phy.,(301) 555-6890,david.jackson@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Christopher Hill,Surgery,(240) 555-2415,christopher.hill@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
Ruth Allen,Surgery,(240) 555-6142,ruth.allen@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Deborah Ramirez,Surgery,(202) 555-2893,deborah.ramirez@hospital.com,Virginia Hospital Center,Virginia,abcd
Matthew Hernandez,Consult - History and Phy.,(571) 555-5344,matthew.hernandez@hospital.com,University of Maryland Medical Center,Maryland,abcd
Mary Anderson,Radiology,(571) 555-8668,mary.anderson@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Paul Robinson,General Medicine,(301) 555-4199,paul.robinson@hospital.com,George Washington University Hospital,Washington D.C.,abcd
Charles Mitchell,Surgery,(240) 555-0151,charles.mitchell@hospital.com,Howard University Hospital,Washington D.C.,abcd
Helen King,Surgery,(301) 555-8934,helen.king@hospital.com,George Washington University Hospital,Washington D.C.,abcd
Edward Martinez,SOAP / Chart / Progress Notes,(703) 555-8501,edward.martinez@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Donald Perez,SOAP / Chart / Progress Notes,(703) 555-8568,donald.perez@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
Mark Baker,Orthopedic,(301) 555-7143,mark.baker@hospital.com,University of Maryland Medical Center,Maryland,abcd
Robert Johnson,Discharge Summary,(571) 555-8254,robert.johnson@hospital.com,Howard University Hospital,Washington D.C.,abcd
Joshua Davis,Nephrology,(703) 555-3541,joshua.davis@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Timothy Lee,Surgery,(571) 555-8340,timothy.lee@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Nancy Thompson,Surgery,(703) 555-6032,nancy.thompson@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Sharon Lee,Nephrology,(240) 555-5685,sharon.lee@hospital.com,University of Maryland Medical Center,Maryland,abcd
Andrew Martinez,Surgery,(571) 555-2701,andrew.martinez@hospital.com,University of Maryland Medical Center,Maryland,abcd
Nancy Carter,Orthopedic,(571) 555-4748,nancy.carter@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Emma Hill,Surgery,(240) 555-5140,emma.hill@hospital.com,Virginia Hospital Center,Virginia,abcd
Kevin Martinez,Cardiovascular / Pulmonary,(240) 555-0812,kevin.martinez@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
Paul Jackson,Surgery,(240) 555-0209,paul.jackson@hospital.com,Howard University Hospital,Washington D.C.,abcd
Daniel Allen,ENT - Otolaryngology,(703) 555-7220,daniel.allen@hospital.com,Children's National Hospital,Washington D.C.,abcd
Maria Miller,Consult - History and Phy.,(571) 555-9408,maria.miller@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Jennifer Clark,Orthopedic,(301) 555-5985,jennifer.clark@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Cynthia Evans,Surgery,(301) 555-7033,cynthia.evans@hospital.com,Virginia Hospital Center,Virginia,abcd
Mary Hill,Cardiovascular / Pulmonary,(240) 555-8869,mary.hill@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Brian White,Neurology,(571) 555-4838,brian.white@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Michael Torres,Neurology,(240) 555-7737,michael.torres@hospital.com,Children's National Hospital,Washington D.C.,abcd
Helen Jackson,Consult - History and Phy.,(240) 555-8113,helen.jackson@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Timothy Lewis,Orthopedic,(703) 555-5901,timothy.lewis@hospital.com,Children's National Hospital,Washington D.C.,abcd
Daniel Torres,Cardiovascular / Pulmonary,(301) 555-3996,daniel.torres@hospital.com,Virginia Hospital Center,Virginia,abcd
Mary Martin,Surgery,(703) 555-6773,mary.martin@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Christine Perez,Neurosurgery,(301) 555-8639,christine.perez@hospital.com,Virginia Hospital Center,Virginia,abcd
Matthew Nelson,Office Notes,(202) 555-7022,matthew.nelson@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
John Hill,SOAP / Chart / Progress Notes,(202) 555-4543,john.hill@hospital.com,Howard University Hospital,Washington D.C.,abcd
Robert Anderson,Orthopedic,(703) 555-3694,robert.anderson@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
Janet Hill,ENT - Otolaryngology,(240) 555-6047,janet.hill@hospital.com,Howard University Hospital,Washington D.C.,abcd
Janet Scott,Orthopedic,(703) 555-2951,janet.scott@hospital.com,Children's National Hospital,Washington D.C.,abcd
Joshua Anderson,Surgery,(240) 555-8837,joshua.anderson@hospital.com,Howard University Hospital,Washington D.C.,abcd
Carol Moore,Cosmetic / Plastic Surgery,(301) 555-9964,carol.moore@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
Susan Hall,Gastroenterology,(703) 555-2459,susan.hall@hospital.com,George Washington University Hospital,Washington D.C.,abcd
Thomas Martin,Cardiovascular / Pulmonary,(301) 555-0445,thomas.martin@hospital.com,George Washington University Hospital,Washington D.C.,abcd
Timothy Baker,Surgery,(240) 555-3584,timothy.baker@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Mark Evans,ENT - Otolaryngology,(703) 555-1347,mark.evans@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Julie Gonzalez,Radiology,(703) 555-3702,julie.gonzalez@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Joshua Brown,Radiology,(703) 555-1075,joshua.brown@hospital.com,Virginia Hospital Center,Virginia,abcd
Edward Lewis,Cardiovascular / Pulmonary,(301) 555-6500,edward.lewis@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Thomas Lewis,General Medicine,(240) 555-3987,thomas.lewis@hospital.com,Children's National Hospital,Washington D.C.,abcd
Janet Allen,Gastroenterology,(301) 555-4266,janet.allen@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
John Carter,Orthopedic,(202) 555-5459,john.carter@hospital.com,Howard University Hospital,Washington D.C.,abcd
Charles Moore,ENT - Otolaryngology,(202) 555-9310,charles.moore@hospital.com,Howard University Hospital,Washington D.C.,abcd
Edward Johnson,Cardiovascular / Pulmonary,(240) 555-6605,edward.johnson@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
James Thompson,Surgery,(301) 555-1993,james.thompson@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
Kevin Turner,General Medicine,(240) 555-8826,kevin.turner@hospital.com,George Washington University Hospital,Washington D.C.,abcd
Christine Lopez,Radiology,(301) 555-5264,christine.lopez@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Thomas Mitchell,Radiology,(571) 555-2920,thomas.mitchell@hospital.com,Children's National Hospital,Washington D.C.,abcd
Carol Hall,Surgery,(703) 555-1045,carol.hall@hospital.com,Children's National Hospital,Washington D.C.,abcd
Sarah Perez,Gastroenterology,(703) 555-9178,sarah.perez@hospital.com,Virginia Hospital Center,Virginia,abcd
Jennifer Miller,General Medicine,(703) 555-0174,jennifer.miller@hospital.com,Howard University Hospital,Washington D.C.,abcd
Andrew Williams,Pain Management,(703) 555-7231,andrew.williams@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Gregory Adams,Cardiovascular / Pulmonary,(240) 555-5662,gregory.adams@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Edward Hernandez,Gastroenterology,(240) 555-5161,edward.hernandez@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
Susan Miller,Surgery,(703) 555-5371,susan.miller@hospital.com,Virginia Hospital Center,Virginia,abcd
Gregory Mitchell,Surgery,(202) 555-5144,gregory.mitchell@hospital.com,University of Maryland Medical Center,Maryland,abcd
Karen Perez,Consult - History and Phy.,(240) 555-6253,karen.perez@hospital.com,Howard University Hospital,Washington D.C.,abcd
James Gonzalez,Ophthalmology,(703) 555-7023,james.gonzalez@hospital.com,George Washington University Hospital,Washington D.C.,abcd
Timothy Brown,Surgery,(571) 555-2148,timothy.brown@hospital.com,Virginia Hospital Center,Virginia,abcd
Kevin Smith,General Medicine,(301) 555-9481,kevin.smith@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Helen Lopez,General Medicine,(571) 555-6203,helen.lopez@hospital.com,Children's National Hospital,Washington D.C.,abcd
Mary Harris,Consult - History and Phy.,(240) 555-4210,mary.harris@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
Christine Hill,SOAP / Chart / Progress Notes,(301) 555-9754,christine.hill@hospital.com,George Washington University Hospital,Washington D.C.,abcd
Joshua Smith,General Medicine,(240) 555-3802,joshua.smith@hospital.com,Children's National Hospital,Washington D.C.,abcd
Nancy Torres,Surgery,(301) 555-3915,nancy.torres@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Sandra Rodriguez,Nephrology,(301) 555-0022,sandra.rodriguez@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Karen Phillips,Neurology,(301) 555-2360,karen.phillips@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Christopher Brown,Surgery,(240) 555-5884,christopher.brown@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Donald Walker,Cardiovascular / Pulmonary,(571) 555-4892,donald.walker@hospital.com,University of Maryland Medical Center,Maryland,abcd
Linda Clark,Hematology - Oncology,(240) 555-8273,linda.clark@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Thomas Lopez,Orthopedic,(571) 555-1628,thomas.lopez@hospital.com,Howard University Hospital,Washington D.C.,abcd
Maria Miller,Cardiovascular / Pulmonary,(571) 555-6326,maria.miller@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Ruth Nelson,ENT - Otolaryngology,(703) 555-7978,ruth.nelson@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Helen Taylor,Consult - History and Phy.,(240) 555-9951,helen.taylor@hospital.com,University of Maryland Medical Center,Maryland,abcd
Nancy Hernandez,SOAP / Chart / Progress Notes,(703) 555-4917,nancy.hernandez@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Ruth Adams,Surgery,(240) 555-0660,ruth.adams@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Sarah Young,General Medicine,(703) 555-2273,sarah.young@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Betty Roberts,Cardiovascular / Pulmonary,(202) 555-3799,betty.roberts@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Jessica Rodriguez,Surgery,(703) 555-1183,jessica.rodriguez@hospital.com,University of Maryland Medical Center,Maryland,abcd
Linda Thomas,Radiology,(703) 555-6969,linda.thomas@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Thomas Scott,Orthopedic,(301) 555-7316,thomas.scott@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Edward Robinson,Consult - History and Phy.,(202) 555-1868,edward.robinson@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Linda Anderson,Podiatry,(571) 555-4153,linda.anderson@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Andrew Taylor,Cardiovascular / Pulmonary,(571) 555-9851,andrew.taylor@hospital.com,Inova Fairfax Hospital,Virginia,abcd
George Nelson,Surgery,(240) 555-8339,george.nelson@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Patricia Johnson,Gastroenterology,(301) 555-6621,patricia.johnson@hospital.com,George Washington University Hospital,Washington D.C.,abcd
James Hill,ENT - Otolaryngology,(240) 555-7232,james.hill@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
Thomas Jackson,Ophthalmology,(240) 555-6221,thomas.jackson@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Janet Brown,Orthopedic,(240) 555-4794,janet.brown@hospital.com,University of Maryland Medical Center,Maryland,abcd
Donald Phillips,General Medicine,(703) 555-0766,donald.phillips@hospital.com,George Washington University Hospital,Washington D.C.,abcd
James Lopez,Surgery,(240) 555-2053,james.lopez@hospital.com,Howard University Hospital,Washington D.C.,abcd
Diane Davis,SOAP / Chart / Progress Notes,(703) 555-8040,diane.davis@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Rachel Miller,Cardiovascular / Pulmonary,(301) 555-4115,rachel.miller@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Steven Torres,Neurology,(240) 555-3876,steven.torres@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Rachel Nelson,Surgery,(301) 555-4832,rachel.nelson@hospital.com,Virginia Hospital Center,Virginia,abcd
Diane Adams,Surgery,(571) 555-0230,diane.adams@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
Jessica Davis,SOAP / Chart / Progress Notes,(240) 555-8319,jessica.davis@hospital.com,Howard University Hospital,Washington D.C.,abcd
Diane Taylor,Surgery,(703) 555-0276,diane.taylor@hospital.com,Children's National Hospital,Washington D.C.,abcd
Emma Walker,Gastroenterology,(301) 555-3239,emma.walker@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Kenneth Allen,Nephrology,(301) 555-6184,kenneth.allen@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Donald Roberts,Gastroenterology,(240) 555-5153,donald.roberts@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Betty Adams,Consult - History and Phy.,(703) 555-5228,betty.adams@hospital.com,George Washington University Hospital,Washington D.C.,abcd
Brian Young,Radiology,(301) 555-0067,brian.young@hospital.com,Children's National Hospital,Washington D.C.,abcd
Gregory Thompson,Consult - History and Phy.,(301) 555-2131,gregory.thompson@hospital.com,Inova Fairfax Hospital,Virginia,abcd
George Taylor,Surgery,(571) 555-1405,george.taylor@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Julie Martinez,Surgery,(703) 555-8346,julie.martinez@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Nancy Jackson,General Medicine,(571) 555-1312,nancy.jackson@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
Gregory Martin,Cardiovascular / Pulmonary,(301) 555-1278,gregory.martin@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Brian Mitchell,Gastroenterology,(202) 555-5052,brian.mitchell@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Anthony Carter,Surgery,(301) 555-7599,anthony.carter@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Jennifer Carter,Neurology,(240) 555-4249,jennifer.carter@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Robert Thompson,Consult - History and Phy.,(301) 555-3842,robert.thompson@hospital.com,Inova Fairfax Hospital,Virginia,abcd
James Mitchell,Orthopedic,(703) 555-7491,james.mitchell@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Helen Adams,Gastroenterology,(240) 555-9672,helen.adams@hospital.com,Children's National Hospital,Washington D.C.,abcd
Christine Taylor,Neurology,(301) 555-2284,christine.taylor@hospital.com,Children's National Hospital,Washington D.C.,abcd
Donald Smith,Orthopedic,(202) 555-6140,donald.smith@hospital.com,Virginia Hospital Center,Virginia,abcd
Mary Davis,Consult - History and Phy.,(703) 555-8969,mary.davis@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Susan Brown,Neurosurgery,(240) 555-7957,susan.brown@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Rachel Lopez,Psychiatry / Psychology,(301) 555-7115,rachel.lopez@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Julie Lee,Cardiovascular / Pulmonary,(571) 555-6334,julie.lee@hospital.com,Children's National Hospital,Washington D.C.,abcd
Nancy Nelson,Pain Management,(703) 555-8816,nancy.nelson@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Edward Davis,Consult - History and Phy.,(571) 555-2493,edward.davis@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Cynthia Clark,Surgery,(301) 555-2452,cynthia.clark@hospital.com,George Washington University Hospital,Washington D.C.,abcd
Helen Nelson,Psychiatry / Psychology,(240) 555-3721,helen.nelson@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Anthony Scott,Neurology,(202) 555-1041,anthony.scott@hospital.com,Children's National Hospital,Washington D.C.,abcd
Anthony Sanchez,Dentistry,(571) 555-2404,anthony.sanchez@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Janet Jones,Radiology,(301) 555-5905,janet.jones@hospital.com,Virginia Hospital Center,Virginia,abcd
Deborah Gonzalez,Neurology,(301) 555-0363,deborah.gonzalez@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Linda Allen,Orthopedic,(301) 555-0567,linda.allen@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Barbara Brown,Surgery,(571) 555-2013,barbara.brown@hospital.com,University of Maryland Medical Center,Maryland,abcd
Sharon Hernandez,Surgery,(202) 555-3981,sharon.hernandez@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Helen Thompson,Surgery,(571) 555-2890,helen.thompson@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Susan Baker,Ophthalmology,(240) 555-6946,susan.baker@hospital.com,Johns Hopkins Hospital,Maryland,abcd
David Jones,Surgery,(240) 555-1318,david.jones@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Sandra Miller,Cardiovascular / Pulmonary,(703) 555-8715,sandra.miller@hospital.com,University of Maryland Medical Center,Maryland,abcd
Mark Allen,SOAP / Chart / Progress Notes,(301) 555-5482,mark.allen@hospital.com,Howard University Hospital,Washington D.C.,abcd
David Mitchell,Surgery,(301) 555-8471,david.mitchell@hospital.com,University of Maryland Medical Center,Maryland,abcd
Betty Martin,Discharge Summary,(703) 555-7791,betty.martin@hospital.com,George Washington University Hospital,Washington D.C.,abcd
Jessica Wright,Cardiovascular / Pulmonary,(703) 555-5267,jessica.wright@hospital.com,George Washington University Hospital,Washington D.C.,abcd
Emma Torres,Neurosurgery,(240) 555-3762,emma.torres@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Helen Turner,Pain Management,(301) 555-1602,helen.turner@hospital.com,Children's National Hospital,Washington D.C.,abcd
Steven Roberts,Surgery,(571) 555-6852,steven.roberts@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Emma Davis,Surgery,(301) 555-1897,emma.davis@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Ruth Hill,General Medicine,(301) 555-7514,ruth.hill@hospital.com,Howard University Hospital,Washington D.C.,abcd
Lisa Rodriguez,Surgery,(240) 555-9209,lisa.rodriguez@hospital.com,Children's National Hospital,Washington D.C.,abcd
Rachel Lewis,Discharge Summary,(571) 555-1673,rachel.lewis@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Barbara Wilson,Surgery,(703) 555-9579,barbara.wilson@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
Rachel Torres,Cardiovascular / Pulmonary,(571) 555-1624,rachel.torres@hospital.com,Children's National Hospital,Washington D.C.,abcd
Ruth Lee,Surgery,(571) 555-5150,ruth.lee@hospital.com,Howard University Hospital,Washington D.C.,abcd
Kevin Lopez,Surgery,(703) 555-9876,kevin.lopez@hospital.com,Inova Fairfax Hospital,Virginia,abcd
George Hill,Psychiatry / Psychology,(571) 555-2425,george.hill@hospital.com,Children's National Hospital,Washington D.C.,abcd
Michael Hall,Gastroenterology,(301) 555-1662,michael.hall@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Maria Rodriguez,Discharge Summary,(240) 555-9951,maria.rodriguez@hospital.com,George Washington University Hospital,Washington D.C.,abcd
James Hall,Radiology,(240) 555-8565,james.hall@hospital.com,Children's National Hospital,Washington D.C.,abcd
Sarah Harris,Surgery,(240) 555-1694,sarah.harris@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Christine Phillips,Psychiatry / Psychology,(240) 555-1419,christine.phillips@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
Edward Harris,Cardiovascular / Pulmonary,(240) 555-9520,edward.harris@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Christine Lopez,Surgery,(571) 555-4666,christine.lopez@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
Rachel Wright,Orthopedic,(240) 555-5217,rachel.wright@hospital.com,Virginia Hospital Center,Virginia,abcd
Mary Thompson,SOAP / Chart / Progress Notes,(703) 555-7819,mary.thompson@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Matthew Campbell,Orthopedic,(571) 555-4465,matthew.campbell@hospital.com,George Washington University Hospital,Washington D.C.,abcd
Kevin Jackson,Orthopedic,(301) 555-8159,kevin.jackson@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Kevin Robinson,Neurology,(301) 555-0092,kevin.robinson@hospital.com,Virginia Hospital Center,Virginia,abcd
John Perez,Pain Management,(703) 555-2271,john.perez@hospital.com,George Washington University Hospital,Washington D.C.,abcd
Lisa Young,Consult - History and Phy.,(703) 555-6709,lisa.young@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
Kenneth Allen,Orthopedic,(571) 555-4617,kenneth.allen@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Edward Hill,Nephrology,(703) 555-0810,edward.hill@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Mary Lopez,General Medicine,(571) 555-0574,mary.lopez@hospital.com,Children's National Hospital,Washington D.C.,abcd
Kevin Smith,Cardiovascular / Pulmonary,(240) 555-9778,kevin.smith@hospital.com,Howard University Hospital,Washington D.C.,abcd
Jessica Perez,Orthopedic,(240) 555-0734,jessica.perez@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Deborah Brown,Gastroenterology,(301) 555-7450,deborah.brown@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Thomas Perez,Discharge Summary,(571) 555-4259,thomas.perez@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
Sandra Brown,Cosmetic / Plastic Surgery,(703) 555-6411,sandra.brown@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Charles Clark,Neurology,(571) 555-7793,charles.clark@hospital.com,University of Maryland Medical Center,Maryland,abcd
Mark Lee,Consult - History and Phy.,(703) 555-3518,mark.lee@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Michael Roberts,Consult - History and Phy.,(240) 555-7382,michael.roberts@hospital.com,George Washington University Hospital,Washington D.C.,abcd
Susan Torres,Consult - History and Phy.,(240) 555-1373,susan.torres@hospital.com,Children's National Hospital,Washington D.C.,abcd
Sandra Jones,General Medicine,(301) 555-2036,sandra.jones@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Kevin Johnson,ENT - Otolaryngology,(703) 555-5509,kevin.johnson@hospital.com,George Washington University Hospital,Washington D.C.,abcd
Christopher Roberts,Surgery,(571) 555-7828,christopher.roberts@hospital.com,Virginia Hospital Center,Virginia,abcd
Lisa Miller,Surgery,(301) 555-1885,lisa.miller@hospital.com,University of Maryland Medical Center,Maryland,abcd
Julie Clark,Surgery,(571) 555-9559,julie.clark@hospital.com,Howard University Hospital,Washington D.C.,abcd
Patricia Johnson,Surgery,(703) 555-8689,patricia.johnson@hospital.com,University of Maryland Medical Center,Maryland,abcd
Jessica Clark,Neurology,(202) 555-3074,jessica.clark@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Anthony Hernandez,Gastroenterology,(301) 555-3030,anthony.hernandez@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
George Clark,Ophthalmology,(301) 555-5557,george.clark@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Julie Gonzalez,Orthopedic,(240) 555-6480,julie.gonzalez@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Thomas Carter,Radiology,(571) 555-2179,thomas.carter@hospital.com,George Washington University Hospital,Washington D.C.,abcd
Carol Scott,Surgery,(240) 555-3301,carol.scott@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
Brian Smith,Discharge Summary,(703) 555-5519,brian.smith@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Emma Scott,Surgery,(301) 555-3681,emma.scott@hospital.com,George Washington University Hospital,Washington D.C.,abcd
Christine Roberts,Consult - History and Phy.,(301) 555-4925,christine.roberts@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Kenneth Green,Discharge Summary,(202) 555-4470,kenneth.green@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
